filename,ipc2014-opt-symba1:default,ipc2018-decstar:opt-config00,ipc2018-decstar:opt-config01,ipc2018-decstar:opt-config02,ipc2018-decstar:opt-config03,ipc2018-decstar:opt-config04,ipc2018-decstar:opt-config05,ipc2018-decstar:opt-config06,ipc2018-opt-complementary2:default,ipc2018-opt-delfi:h2-simpless-dks-900masb50ksbmiasm,ipc2018-opt-delfi:h2-simpless-dks-900masb50ksccdfp,ipc2018-opt-delfi:h2-simpless-dks-900masginfsccdfp,ipc2018-opt-delfi:h2-simpless-dks-blind,ipc2018-opt-delfi:h2-simpless-dks-celmcut,ipc2018-opt-delfi:h2-simpless-dks-cpdbshc900,ipc2018-opt-delfi:h2-simpless-dks-zopdbsgenetic,ipc2018-opt-delfi:h2-simpless-oss-900masb50ksbmiasm,ipc2018-opt-delfi:h2-simpless-oss-900masb50ksccdfp,ipc2018-opt-delfi:h2-simpless-oss-blind,ipc2018-opt-delfi:h2-simpless-oss-celmcut,ipc2018-opt-delfi:h2-simpless-oss-cpdbshc900,ipc2018-opt-delfi:h2-simpless-oss-masginfsccdfp,ipc2018-opt-delfi:h2-simpless-oss-zopdbsgenetic,ipc2018-opt-delfi:simpless-dks-masb50kmiasmdfp,ipc2018-opt-delfi:simpless-oss-masb50kmiasmdfp,ipc2018-opt-metis:metis2,ipc2018-opt-planning-pdbs:default,ipc2018-opt-scorpion:default,ipc2018-symple1:symple100000OPT,ipc2018-symple2:symple100000OPT
airport-strips:2-p18-airport3-p6.pddl,62.8863,-,-,2.91863,31.3726,222.082,6.02869,24.0253,118.434,94.8726,82.6444,41.7161,22.6344,4.72374,5.58593,23.5411,928.237,91.9313,22.3265,4.4186,5.74945,42.6219,23.8748,1267.37,1207.7,2.00135,119.889,213.112,-,-
airport-strips:2-p19-airport3-p6.pddl,6.91375,-,-,1.66689,1.91129,92.0396,1.57085,2.44714,12.3477,23.6403,70.0694,9.25091,2.21469,2.3446,2.78085,2.41023,905.153,68.0012,2.21151,2.26235,2.91909,9.44335,2.31251,-,-,1.73756,11.7693,211.206,-,-
airport-strips:2-p20-airport3-p7.pddl,79.6788,-,-,4.3544,86.8554,365.293,3.4558,74.4204,1082.02,143.328,123.103,67.5146,37.8813,10.1457,12.107,40.3095,946.123,126.945,38.2365,9.82856,12.1882,68.0191,39.7933,-,-,2.14407,523.131,220.501,-,-
barman-strips:0-p06.pddl,95.0226,-,-,-,-,-,-,-,921.607,136.831,-,-,-,-,533.83,-,1129.8,-,-,-,501.07,-,-,-,-,-,366.296,-,-,-
barman-strips:0-p15.pddl,20.6659,-,-,904.899,-,-,-,-,903.063,130.543,-,-,-,780.271,75.4436,-,956.17,-,-,775.321,68.573,-,-,714.844,-,645.224,351.858,264.381,-,-
barman-strips:0-p16.pddl,61.0937,-,-,-,-,-,-,-,905.906,145.47,-,-,-,-,537.425,-,-,-,-,-,429.52,-,-,-,-,-,422.404,513.787,-,-
barman-strips:0-p24.pddl,36.8691,-,-,-,-,-,-,-,906.676,179.176,623.312,639.23,725.024,-,791.211,514.382,1083.68,460.575,478.669,-,741.067,469.919,318.546,497.964,415.641,-,350.155,-,-,-
barman-strips:3-p435-3.pddl,19.1887,-,-,250.329,-,-,-,-,174.414,100.453,148.049,135.194,124.873,220.356,676.263,129.256,405.159,125.338,103.287,219.4,668.614,117.496,106.277,186.94,185.588,238.423,166.33,901.242,-,-
barman-strips:3-p536-1.pddl,171.296,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
barman-strips:3-p536-2.pddl,320.261,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
barman-strips:3-p536-3.pddl,231.449,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
barman-strips:5-pfile02-007.pddl,80.4951,-,-,493.867,-,-,-,-,890.882,183.906,244.921,224.963,195.363,428.476,227.822,202.409,514.83,223.552,183.058,427.949,203.121,212.931,186.95,265.741,283.945,456.584,433.791,1085.13,-,-
barman-strips:5-pfile03-009.pddl,1009.75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
